customer_id,first_name,last_name,email,signup_date
1,Qtgdc,Tckafnafq,user1@example.com,2024-04-29 06:05:45
2,Fhwtekhft,Ccwpusnz,user2@example.com,2023-12-18 03:04:46
3,Oxjebruzw,Whqjjfgy,user3@example.com,2024-07-20 17:29:56
4,Pngmhy,Rrvufa,user4@example.com,2023-10-28 15:55:05
5,Gxosfm,Xddtotlp,user5@example.com,2023-12-04 21:33:04
6,Zncbcq,Upkpmgoy,user6@example.com,2024-08-15 12:39:39
7,Cttiheass,Zncqvn,user7@example.com,2023-07-27 10:18:45
8,Jounai,Awvhbwy,user8@example.com,2023-04-27 19:45:57
9,Mzndr,Ygwlfo,user9@example.com,2024-09-24 05:53:46
10,Fkrjxlg,Bpffb,user10@example.com,2024-07-07 04:23:47
11,Fwbgr,Fswogm,user11@example.com,2024-01-09 22:46:15
12,Cjkwbqqb,Sgelk,user12@example.com,2023-09-29 03:17:11
13,Glwob,Zzywe,user13@example.com,2024-03-12 19:31:45
14,Fxeakyuh,Srmefbtbi,user14@example.com,2023-03-30 09:57:08
15,Meyceprgd,Xpbcro,user15@example.com,2023-10-29 09:31:14
16,Ggkrhit,Bqocnndj,user16@example.com,2023-04-14 08:00:46
17,Gevspzr,Ahryddcoh,user17@example.com,2024-06-16 03:57:08
18,Srwngx,Bvbidzel,user18@example.com,2024-09-04 20:02:04
19,Obwxo,Volbjyzbj,user19@example.com,2024-08-16 22:54:00
20,Ruwkqey,Wwatiy,user20@example.com,2024-11-21 02:08:03
21,Wgucww,Fjvwfrkh,user21@example.com,2023-04-14 20:05:53
22,Uqkznyc,Zpzapi,user22@example.com,2024-11-08 10:38:26
23,Ldxeblnur,Yjbrii,user23@example.com,2024-12-27 17:06:46
24,Snrisoe,Rrxqhoah,user24@example.com,2024-01-28 05:04:19
25,Pmlfmxu,Ehrqc,user25@example.com,2025-03-20 21:36:47
26,Gffagmw,Bxosjkdr,user26@example.com,2025-02-01 10:17:17
27,Wufus,Mgwlurzpy,user27@example.com,2025-01-31 10:35:50
28,Plxlewltv,Hmglsgixc,user28@example.com,2023-06-18 23:10:05
29,Jsbkok,Fkuyawom,user29@example.com,2025-03-13 11:51:34
30,Hwyktopf,Fmkrusvx,user30@example.com,2025-04-12 21:04:53
